,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
0,2.1055555555555547,-2.572222222222221,0.67,20.0284,21.0,16.1,1032.93
1,0.0,-1.583333333333334,0.74,5.0232,352.0,11.27,1014.93
2,22.800000000000004,22.800000000000004,0.53,3.7996,236.0,11.2056,1007.28
3,18.8,18.8,0.93,3.3327,337.0,8.1305,1015.02
4,-2.4000000000000004,-2.4000000000000004,0.88,4.6046000000000005,340.0,6.021400000000001,1024.54
5,19.00555555555555,19.00555555555555,0.83,8.0983,190.0,9.982,1019.76
6,13.75,13.75,0.91,10.3845,148.0,14.0553,1018.9
7,17.6,17.6,0.78,36.1606,192.0,11.125100000000002,1010.3
8,17.538888888888884,17.538888888888884,0.52,24.794,330.0,10.851400000000002,1005.04
9,6.561111111111113,5.361111111111111,0.66,6.5849,291.0,8.1305,1022.57
10,14.194444444444445,14.194444444444445,0.76,5.8121,98.0,15.826300000000002,1017.5
11,28.93333333333333,28.23333333333333,0.36,3.0912,346.0,9.982,1015.18
12,3.3999999999999986,-0.07222222222222167,0.76,14.2163,282.0,14.9086,1022.37
13,-2.7444444444444454,-2.7444444444444454,0.89,3.22,90.0,4.3631,1025.19
14,1.311111111111111,-1.3277777777777782,0.77,8.500800000000002,289.0,6.6654,1017.45
15,22.2,22.2,0.53,9.3219,160.0,16.1,1017.68
16,21.511111111111113,21.511111111111113,0.7,2.2057,158.0,15.150100000000002,1013.43
17,-0.005555555555556424,-4.188888888888888,0.96,13.9104,150.0,2.5277000000000003,1012.66
18,-3.861111111111111,-7.183333333333334,0.93,7.808499999999999,167.0,3.4132,1037.46
19,3.905555555555556,1.9111111111111097,0.93,7.840700000000001,339.0,11.3183,1027.14
20,18.727777777777774,18.727777777777774,0.87,6.0375000000000005,211.0,14.9086,1017.11
21,8.844444444444445,8.488888888888889,0.83,4.9105,250.0,9.982,1014.21
22,6.211111111111111,2.666666666666665,0.86,19.5454,338.0,6.8425,1019.23
23,13.894444444444444,13.894444444444444,0.84,19.7225,290.0,10.3523,1007.34
24,1.4222222222222234,1.4222222222222234,0.88,4.7334000000000005,283.0,6.8425,1013.28
25,32.800000000000004,32.294444444444444,0.34,7.3094,184.0,16.1,1017.0
26,7.85,4.994444444444445,0.95,17.1787,1.0,4.1699,1009.17
27,10.0,6.4444444444444455,0.89,32.2,330.0,16.1,999.5
28,14.644444444444444,14.644444444444444,0.9,6.0053,343.0,15.1823,1015.38
29,1.094444444444444,-0.916666666666666,0.91,6.44,230.0,6.1985,1017.04
30,22.800000000000004,22.800000000000004,0.32,10.9158,231.0,0.7245,1027.69
31,14.97777777777778,14.97777777777778,0.83,3.22,350.0,16.1,1019.02
32,20.533333333333328,20.533333333333328,0.84,10.722600000000002,19.0,16.1,1015.95
33,15.027777777777779,15.027777777777779,0.47,15.8907,42.0,9.982,1017.98
34,25.0,25.0,0.61,9.4185,311.0,9.982,1015.03
35,12.238888888888885,12.238888888888885,0.74,7.744099999999999,13.0,10.0464,1022.08
36,2.6,0.9611111111111094,0.85,6.0536,289.0,15.649200000000002,1017.33
37,10.777777777777779,10.777777777777779,0.76,9.4507,351.0,9.982,1017.86
38,-0.9222222222222224,-6.977777777777778,0.73,24.2627,18.0,11.0607,1026.12
39,15.777777777777779,15.777777777777779,0.95,0.9982,329.0,15.552600000000002,1015.79
40,19.00555555555555,19.00555555555555,0.83,4.2182,265.0,10.3523,1008.78
41,9.81111111111111,7.872222222222224,0.75,13.6528,299.0,15.826300000000002,1010.02
42,20.34444444444445,20.34444444444445,0.68,3.1878,4.0,15.8746,1012.64
43,23.88333333333333,23.88333333333333,0.24,13.7816,309.0,9.982,1021.61
44,12.038888888888891,12.038888888888891,0.74,16.6152,138.0,9.9015,1014.66
45,23.79444444444444,23.79444444444444,0.69,8.017800000000001,273.0,11.27,1009.61
46,26.155555555555548,26.155555555555548,0.39,9.5151,222.0,9.982,1013.46
47,17.305555555555557,17.305555555555557,0.93,9.4507,198.0,5.2003,1011.73
48,8.794444444444443,7.044444444444443,0.67,10.9319,31.0,15.826300000000002,1024.54
49,21.11111111111111,21.11111111111111,0.81,27.37,330.0,6.117999999999999,1017.3
50,19.422222222222214,19.422222222222214,0.97,6.1502,340.0,14.9086,1015.33
51,2.1555555555555572,-0.9611111111111114,0.99,11.0124,62.0,6.8747,1028.12
52,-1.0611111111111111,-5.288888888888888,0.97,12.9766,342.0,4.4758,1012.65
53,22.56666666666667,22.56666666666667,0.66,12.4614,333.0,16.1,1009.19
54,4.261111111111112,1.1722222222222218,1.0,13.1054,168.0,5.8765,1006.52
55,6.822222222222222,5.794444444444443,0.99,6.117999999999999,181.0,6.2951000000000015,1022.65
56,4.394444444444442,3.1555555555555554,0.9,5.6672,141.0,8.420300000000001,1017.13
57,7.15,4.811111111111108,0.93,12.397,349.0,3.0429,1007.0
58,20.227777777777774,20.227777777777774,0.73,20.6241,324.0,15.1823,1010.32
59,5.994444444444443,5.994444444444443,0.96,3.1878,348.0,6.0697,1015.7
60,5.0,5.0,0.86,4.83,10.0,3.5420000000000007,998.3
61,13.788888888888886,13.788888888888886,0.64,9.4346,41.0,9.982,1016.87
62,18.7,18.7,0.69,2.9785000000000004,158.0,15.826300000000002,1010.76
63,12.866666666666665,12.866666666666665,0.76,11.3505,158.0,9.982,1014.73
64,10.0,6.661111111111113,0.5,28.98,300.0,11.27,1015.1
65,20.977777777777774,20.977777777777774,0.74,7.550900000000001,149.0,9.982,1014.5
66,2.7888888888888905,-0.3499999999999994,0.57,11.753,108.0,9.982,1020.18
67,22.738888888888887,22.738888888888887,0.61,16.9694,0.0,9.982,1011.49
68,19.88888888888889,19.88888888888889,0.54,11.9784,160.0,9.982,1017.38
69,7.755555555555557,5.26111111111111,0.63,14.2807,279.0,11.27,1005.25
70,3.4888888888888894,0.10555555555555428,0.63,13.8138,341.0,16.1,1026.38
71,11.06111111111111,11.06111111111111,0.8,17.3719,51.0,9.9015,1005.41
72,8.122222222222222,6.305555555555557,0.94,10.5616,319.0,4.2987,1020.66
73,9.81111111111111,8.499999999999998,0.52,9.5312,301.0,10.3684,1005.25
74,26.08888888888889,26.08888888888889,0.42,6.262900000000001,89.0,15.826300000000002,1014.42
75,9.444444444444443,5.655555555555555,0.93,33.1177,330.0,6.9391,1004.02
76,5.477777777777778,2.6500000000000017,0.8,13.1215,182.0,8.8067,1018.84
77,18.89444444444445,18.89444444444445,0.73,12.783400000000002,30.0,9.982,1019.43
78,13.22777777777778,13.22777777777778,0.93,6.4883000000000015,301.0,11.753,1015.94
79,32.98333333333333,32.177777777777784,0.31,9.5634,132.0,16.1,1013.47
80,3.888888888888889,3.888888888888889,0.7,4.7978000000000005,266.0,10.2557,1023.59
81,21.788888888888888,21.788888888888888,0.55,4.9749,334.0,11.27,1011.61
82,7.777777777777778,7.3055555555555545,1.0,4.83,50.0,0.16100000000000006,0.0
83,4.022222222222223,0.3111111111111124,0.85,16.6152,281.0,14.2163,1006.96
84,13.638888888888886,13.638888888888886,0.78,8.8067,145.0,9.982,1021.62
85,13.372222222222224,13.372222222222224,0.96,6.1663000000000014,330.0,11.5276,1019.61
86,10.216666666666667,10.216666666666667,0.78,7.293300000000001,181.0,14.168000000000005,1014.5
87,17.59444444444445,17.59444444444445,0.79,22.024800000000006,310.0,11.27,1007.54
88,30.0,29.355555555555558,0.37,10.8031,1.0,16.1,1014.63
89,9.927777777777775,5.955555555555555,0.34,38.83320000000001,10.0,10.2557,1024.06
90,-7.244444444444443,-7.244444444444443,0.88,0.2576,80.0,6.021400000000001,1037.55
91,0.9777777777777766,-0.9833333333333332,0.73,6.262900000000001,359.0,15.826300000000002,1031.44
92,6.066666666666667,1.4388888888888909,0.89,30.268000000000004,130.0,14.9086,1012.53
93,11.038888888888886,11.038888888888886,0.78,3.6386,76.0,11.6725,1011.3
94,0.5388888888888883,0.5388888888888883,0.76,4.0089000000000015,278.0,6.7620000000000005,1028.29
95,26.038888888888888,26.038888888888888,0.48,16.0839,302.0,9.982,1017.05
96,17.03888888888889,17.03888888888889,0.68,20.3826,320.0,9.982,1017.35
97,24.527777777777786,24.527777777777786,0.5,2.3506,107.0,15.3111,1010.59
98,12.566666666666665,12.566666666666665,0.6,9.016,135.0,15.826300000000002,1010.82
99,14.905555555555553,14.905555555555553,0.84,10.7387,354.0,9.982,1006.3
100,23.97222222222223,23.97222222222223,0.52,7.905100000000001,278.0,11.3988,1014.04
101,22.31111111111111,22.31111111111111,0.58,9.5634,329.0,11.27,1015.14
102,11.111111111111109,11.111111111111109,0.86,9.66,180.0,8.05,998.9
103,15.272222222222226,15.272222222222226,0.79,10.3845,99.0,15.826300000000002,1012.92
104,4.977777777777779,-0.04999999999999992,0.76,31.0891,320.0,9.982,1015.97
105,13.800000000000002,13.800000000000002,0.96,3.22,190.0,9.6761,1018.61
106,-2.2222222222222223,-6.288888888888889,0.88,11.27,330.0,4.508,1025.0
107,0.022222222222221748,-4.2111111111111095,0.99,14.1841,350.0,1.4651,1018.5
108,15.555555555555555,15.555555555555555,0.9,3.22,70.0,9.982,1014.2
109,33.916666666666664,33.18888888888889,0.3,8.3076,170.0,9.982,1018.67
110,0.3944444444444449,-4.199999999999998,0.93,16.6474,150.0,6.021400000000001,1019.75
111,20.972222222222218,20.972222222222218,0.69,12.4775,278.0,10.0464,1005.44
112,17.322222222222226,17.322222222222226,0.67,11.1573,170.0,15.826300000000002,1017.35
