,summary
0,2
1,3
2,2
3,2
4,4
5,1
6,4
7,1
8,1
9,5
10,3
11,1
12,5
13,1
14,4
15,1
16,3
19,5
20,2
22,2
24,3
25,4
26,4
27,4
28,1
29,1
30,3
31,3
32,1
33,1
34,1
35,3
36,1
37,4
38,1
39,2
40,3
41,1
42,4
45,5
46,1
47,3
48,3
49,2
50,3
51,1
52,3
53,3
55,4
56,3
57,1
58,2
59,3
60,1
61,1
62,5
63,3
64,3
65,1
66,1
67,4
68,2
69,2
70,4
71,2
73,1
74,1
76,2
77,2
78,5
80,1
81,4
82,2
84,3
85,2
86,1
88,2
89,1
90,4
91,2
92,1
93,1
94,2
96,5
97,2
98,1
99,2
100,1
101,1
102,1
103,1
104,2
105,2
106,2
107,3
108,1
109,3
110,4
111,1
112,2
113,1
114,1
116,3
117,3
118,3
119,1
120,1
121,3
122,2
123,1
124,3
125,3
126,2
127,3
128,2
129,1
130,1
131,2
132,1
134,1
135,1
136,3
137,1
138,4
139,1
140,1
141,2
142,1
143,1
144,1
145,5
146,1
147,2
148,5
149,1
150,1
151,1
152,2
153,5
154,2
155,1
156,1
157,3
158,3
159,2
161,2
163,2
164,5
165,2
166,1
167,2
168,1
169,1
170,1
171,2
172,1
173,3
174,1
175,2
176,3
177,4
178,2
179,5
180,2
181,1
182,3
183,1
184,4
185,2
186,2
187,4
188,3
189,2
190,3
191,3
192,4
193,1
194,3
195,4
196,2
197,1
198,1
199,1
200,2
201,1
202,1
203,3
204,5
205,2
206,5
207,2
208,2
209,4
210,4
211,1
212,1
213,2
214,5
215,2
216,1
217,2
218,5
219,4
220,2
221,3
222,2
223,1
224,3
225,1
226,2
227,1
228,1
229,3
230,3
231,3
232,2
233,3
234,1
235,5
236,2
238,1
239,1
240,2
242,2
243,1
244,2
245,1
246,2
248,3
249,4
250,5
252,1
253,1
254,1
255,2
256,1
257,3
258,3
259,1
260,2
261,1
262,4
263,1
264,1
265,1
266,5
267,3
268,5
269,1
270,1
271,2
272,3
273,1
274,4
275,2
276,2
277,1
278,1
279,4
280,2
281,2
282,5
283,1
285,4
286,1
287,3
288,3
289,2
290,1
291,4
292,5
293,2
294,1
295,3
296,2
297,2
298,1
299,4
300,1
301,2
303,1
304,3
305,1
306,2
307,1
308,1
309,2
310,3
311,4
312,3
313,1
314,1
315,1
316,2
317,4
318,2
319,1
320,3
321,1
322,2
323,3
324,2
325,3
326,4
328,2
329,2
330,1
331,1
332,2
333,1
334,2
335,2
336,3
337,4
338,4
339,4
340,1
341,3
342,1
343,2
344,1
345,3
346,4
347,1
348,5
349,2
350,1
351,2
352,2
353,4
355,2
356,3
357,1
358,2
359,5
360,2
361,1
363,1
364,1
365,3
366,5
367,4
368,5
369,1
370,1
371,4
372,1
373,2
374,2
375,3
376,1
377,1
378,2
379,1
380,4
381,2
382,1
383,2
384,1
385,3
386,1
387,1
389,5
390,1
391,5
392,4
393,1
394,2
395,1
396,5
397,4
398,2
399,2
400,1
401,3
402,1
403,1
404,2
406,1
407,4
408,5
409,1
410,3
411,2
412,1
413,4
414,1
415,2
416,2
417,3
418,2
419,2
420,3
421,1
422,1
425,1
426,2
427,5
428,5
429,3
430,2
431,2
432,1
433,5
434,1
435,1
436,2
437,2
438,5
439,1
440,1
441,2
442,1
443,1
444,3
445,2
446,2
447,2
448,1
449,2
450,1
451,4
452,1
453,3
454,1
455,2
456,1
457,1
458,2
459,4
460,2
461,1
462,5
463,2
464,1
465,1
466,1
467,3
468,3
469,1
470,4
471,2
472,1
473,2
474,2
475,2
476,1
477,5
478,4
479,2
480,2
481,2
483,2
484,3
486,1
487,1
488,1
489,4
490,2
491,2
492,1
494,1
495,2
496,2
497,5
498,1
499,1
500,2
501,1
502,3
503,1
504,4
506,2
507,3
508,2
509,3
510,4
511,1
512,2
513,1
514,2
515,4
516,2
517,3
518,1
519,3
520,1
521,1
522,3
523,1
524,1
525,1
526,1
527,3
528,4
529,1
530,1
531,1
532,1
533,1
535,3
536,2
537,3
538,5
539,3
540,2
541,2
543,1
544,1
545,1
546,3
547,2
548,1
549,2
550,2
551,3
552,1
553,2
554,5
555,1
556,1
557,2
558,4
559,1
560,3
561,3
562,1
563,2
565,1
566,1
567,3
568,4
569,5
570,1
572,3
573,1
574,5
575,2
576,1
577,2
578,3
579,1
580,2
581,3
582,1
583,2
584,4
585,4
586,2
587,3
588,2
589,2
590,5
591,2
592,5
593,1
594,3
595,1
596,3
599,3
600,2
601,4
602,1
603,2
604,4
605,3
607,2
608,3
609,4
610,1
611,3
613,4
614,1
615,3
616,1
617,2
619,3
620,2
621,4
622,5
623,3
624,1
625,2
626,1
